,Fin_CH4,Tin_CH4,Fin_H2O,Conversion,HeatDuty,Fout,Tout,H2,CO,H2O,CO2,CH4,C2H6,C3H8,C4H10,N2,O2,Ar
28,634.7971329825333,700.3022585497173,252.47804869054812,0.9338288364147562,45569319.48693235,3175.3669115843604,1019.4417539963988,0.41743298031769427,0.17259787680704466,0.04284130057679647,0.02352906916869219,0.012315744178570048,7.88695431845394e-08,1.954665438618703e-12,4.5553997343910875e-17,0.3273393014249007,1e-20,0.003943648654803913
29,871.1230599828991,663.2054994025326,267.81051939910964,0.9575794598437578,108696914.700892,3768.914672246117,1115.1395078760058,0.48350132938477286,0.2068455173586237,0.010881843434856157,0.00437744499075361,0.009128300690055715,8.020338231795829e-08,1.9093900654258082e-10,0.005150750916955949,0.2767915189087018,1e-20,0.003323214010245904
30,725.393259105839,624.5846784171729,263.3553627636059,0.917708456771559,70793225.99726376,3430.8965967498248,1036.7371196889637,0.44479551758272534,0.18956265648800483,0.027738980115447384,0.014672210235226529,0.01619838812084255,1.48383524461054e-07,5.16368446102581e-12,1.687430656829675e-16,0.3033819021206004,1e-20,0.00365019694846461
31,606.1503206807073,624.7035687659326,311.0560047747147,0.9200944126940136,36743237.44738978,3134.193801216725,990.690082734171,0.40085920790438584,0.15208365405859195,0.06199497575202346,0.03518603175873781,0.014387408875277239,8.679232563570892e-08,2.092969035520525e-12,4.757018929960787e-17,0.3314932521988781,1e-20,0.003995382657687058
32,806.5204880691456,646.3524735211386,300.95355567433967,0.8744910661717893,81508621.50248434,3639.733951010605,1025.928482834842,0.45453593905312156,0.19164772930208318,0.024680493724236627,0.013470812973780496,0.025892323880434723,3.3853139352001483e-07,1.700928805101344e-11,8.032281823170446e-16,0.2863313700368936,1e-20,0.003440992481046282
33,897.5987075927386,786.7675220527201,243.50482370453597,0.8057006909917134,83608412.8366852,3725.0886342839985,1043.8863051718604,0.4554151818919303,0.2023114528004085,0.009866672512911318,0.005293449709511295,0.043588042350189385,1.113818652993331e-06,1.073191096154415e-10,9.704810038232356e-15,0.2801617103070364,1e-20,0.003362376502031099
34,744.1070110546941,897.1864245841659,216.9728204196335,0.9143781314406021,64290140.052045114,3434.374597155488,1059.8362393241612,0.45110795743731785,0.20042726168539882,0.016195844791973224,0.008189134552623196,0.01727122282783468,2.0110527924651526e-07,8.687009936995896e-12,3.5174502926743123e-16,0.3031618362225376,1e-20,0.003646541368347995
35,618.2693846319386,895.2065808607747,241.9885476165614,0.9269611179888274,31629473.973400176,3108.3664948760074,1010.5848665331498,0.4090614789986522,0.16826948993001417,0.0452048282170219,0.025600126672669293,0.013525412178011452,8.98470933544528e-08,2.332452722636977e-12,5.697980161049578e-17,0.3343099772358442,1e-20,0.004028596918360959
36,605.854504557342,799.2458431678806,221.93520105736823,0.8803149474841365,23030457.915439084,2999.3402584080463,981.5527479727873,0.39003641203266076,0.1574700155869573,0.04877199716775402,0.030642632498763027,0.02250781812792146,2.0067611612625803e-07,7.229379493670891e-12,2.4564732336853013e-16,0.34639593527130025,1e-20,0.004174988631297544
37,881.15891523918,708.8197998997351,215.34593624639075,0.9120925218325808,98196606.24242292,3674.6323897413877,1104.8606674560829,0.47230002367168383,0.2070846678363973,0.0059296285497673325,0.0025287649243841102,0.01962531620790826,3.514671796619626e-07,2.566070820424117e-11,0.00518574335134146,0.28393701119669973,1e-20,0.003408492770621261
38,884.8895927814817,659.2962605136495,296.25064366356406,0.8198300011019234,88328730.95212339,3766.7730315713075,1022.2148865812111,0.45636584662752505,0.19515509810917298,0.01840260608772135,0.010338050459350923,0.039405119662472066,7.564296691434862e-07,5.602578023002956e-11,3.901232126811648e-15,0.27700737501029726,1e-20,0.00332514755776157
39,752.8555152499097,789.5474705413598,349.04830734211924,0.9211434826796701,70782430.45778932,3601.336509783003,1028.1816046216738,0.4523772849796791,0.18333301943555544,0.037052131558161054,0.019266621477033313,0.015347450743902844,1.2182999853518524e-07,3.707487439291977e-12,1.060211932915391e-16,0.28914582529668953,1e-20,0.003477544675272364
40,715.3446278575731,885.6545745934359,239.4520039411414,0.8574056610504462,42548972.02461504,3297.420722040493,1000.4271712927257,0.4220431889754275,0.17780432703337115,0.03236464055413261,0.019575777141088123,0.028800096813666937,3.607619204317017e-07,1.7863542178334504e-11,8.330426662495166e-16,0.31561369361860436,1e-20,0.0037979150839244132
41,641.1898625459072,821.5131451702294,326.29354188115013,0.9064407502417754,35847757.072880186,3235.2779075738995,990.0001329854321,0.4102011921592651,0.1562453089695196,0.057976885288629265,0.03313371454779749,0.017262857036966207,1.2133796086964022e-07,3.412024279685866e-12,9.043613477897429e-17,0.3213092580580828,1e-20,0.0038706625983663825
42,649.0880887127323,825.1548329834565,320.05725412378587,0.9116382164539856,38939461.499313995,3258.1483785653154,996.3290414682494,0.4148304028066846,0.160517571678233,0.05451600834548772,0.030810929009849837,0.016388836525699464,1.1454857889344406e-07,3.1796920664907605e-12,8.315255357359935e-17,0.319092622151989,1e-20,0.0038435149302977678
43,749.0246102361434,647.9975894063118,247.5361732328236,0.8346959942863639,57093936.08131236,3368.0839838927955,997.3364824705023,0.4248538551052658,0.17898904704335006,0.030420812260511108,0.01864012459240936,0.03422529640910816,4.922303866114037e-07,2.8082920232261902e-11,1.5093024160348461e-15,0.3091520360773445,1e-20,0.003718336253539876
44,845.3479938141185,765.8902985587752,248.53465957160503,0.8194749898541889,73538050.81652954,3610.6100237484316,1023.6480622236318,0.44695481521897684,0.19521058162192254,0.016683855734312587,0.00951827191637094,0.03934983127726441,7.79747317227367e-07,5.952422084281514e-11,4.271479099269454e-15,0.2888130231669522,1e-20,0.0034688412573549003
45,724.3183754142949,760.464716656299,300.66663691003544,0.9010619541632373,59930050.51908668,3442.6251195868285,1015.4124082823695,0.43819806697520497,0.17978111948344744,0.0364636523552912,0.020195870648291245,0.019380002600391702,1.7963930722521964e-07,6.4726602409817706e-12,2.1937917781739765e-16,0.3023433393172316,1e-20,0.0036377689743616573
46,636.3354281047365,835.1789080606476,345.9840437446138,0.8880057864625229,30096896.98598429,3219.0952355480185,975.7657712468532,0.4024636353175916,0.14764742332134898,0.0646363808564348,0.03785092233928251,0.02061098627586259,1.5449429301840167e-07,4.711609423270339e-12,1.3559077715513268e-16,0.3229003855975588,1e-20,0.003890111792915919
