,X,P,Termination,Time,Objective,Steam,Bypass Fraction,CH4 Feed
0,0.9,1447379.0,optimal,0.5648397500000009,0.40536415944541715,336.6799060518327,0.3699212148351439,1249.999934681858
1,0.9,1517379.0,optimal,0.5576386660000026,0.4067845224290398,339.37857653972037,0.36698020811343113,1249.9999346797626
2,0.9,1587379.0,optimal,0.5459737920000016,0.408116280650527,341.9230447699002,0.36421069206768547,1249.9999346757431
3,0.9,1657379.0,optimal,0.5467562079999979,0.4093690992917263,344.32945793204345,0.3615946787277079,1249.9999346700263
4,0.9,1727379.0,optimal,0.5637517079999981,0.41055121947945317,346.6116733112746,0.35911674620377626,1249.9999346628026
5,0.9,1797379.0,optimal,0.5665661250000014,0.41166971751715487,348.78166044457095,0.3567635842935918,1249.9999346542352
6,0.9,1867379.0,optimal,0.5695683749999958,0.41273070868112377,350.84982015590606,0.35452363492711964,1249.9999346444624
7,0.9,1937379.0,optimal,0.5678575419999987,0.4137395090599487,352.82524003126184,0.3523868048871237,1249.9999346336047
8,0.91,1447379.0,optimal,0.6133357920000009,0.40342282839727744,330.6779720619731,0.38005059518407563,1249.999934910448
9,0.91,1517379.0,optimal,0.5716683330000052,0.40488776878129845,333.4483586142055,0.3770694020705518,1249.9999349035425
10,0.91,1587379.0,optimal,0.5673303749999974,0.40626121087351097,336.0607176056303,0.374261929632892,1249.9999348950391
11,0.91,1657379.0,optimal,0.5642597080000087,0.4075531272914671,338.53153749755353,0.371609994529503,1249.9999348851293
12,0.91,1727379.0,optimal,0.5604062499999998,0.4087720225277617,340.87497563566984,0.3690980026110695,1249.9999348739739
13,0.91,1797379.0,optimal,0.5644923750000004,0.40992519998282634,343.1032664994085,0.366712491194284,1249.9999348617093
14,0.91,1867379.0,optimal,0.5666082500000016,0.4110189719410735,345.2270457929996,0.3644417667224638,1249.9999348484523
15,0.91,1937379.0,optimal,0.5774607500000002,0.4120588263519188,347.2556101332575,0.36227561515299966,1249.999934834303
16,0.92,1447379.0,optimal,0.536722291000018,0.40112802884370674,323.8595266186833,0.39063231875765897,1249.9999351549234
17,0.92,1517379.0,optimal,0.49740516599999296,0.40264059180222395,326.7028838573902,0.3876102835433706,1249.9999351431547
18,0.92,1587379.0,optimal,0.4680799580000041,0.4040585722343577,329.384374142627,0.3847642058069878,1249.9999351301165
19,0.92,1657379.0,optimal,0.5355710409999972,0.40539226962521985,331.92082216666125,0.3820757096353634,1249.999935115965
20,0.92,1727379.0,optimal,0.6523061249999955,0.40665046860988735,334.3266818123921,0.3795290305881152,1249.9999351008307
21,0.92,1797379.0,optimal,0.5810943749999922,0.4078407142523972,336.61445009975404,0.37711055485458467,1249.9999350848245
22,0.92,1867379.0,optimal,0.5777739579999945,0.4089695285599781,338.794996044019,0.3748084542880188,1249.9999350680403
23,0.92,1937379.0,optimal,0.5765547909999782,0.41004258249596326,340.8778243437897,0.37261239457614853,1249.9999350505586
24,0.93,1447379.0,optimal,0.5037071659999981,0.39838819774845213,316.0232598677125,0.4018097579474169,1249.9999354190006
25,0.93,1517379.0,optimal,0.5664452499999868,0.39995231559194666,318.94115490114814,0.39874577734885763,1249.999935402297
26,0.93,1587379.0,optimal,0.4767651250000142,0.40141852080713963,321.69332565872367,0.39586001758922595,1249.9999353846551
27,0.93,1657379.0,optimal,0.5530859999999791,0.4027974647443846,324.2969268047836,0.3931339118484332,1249.9999353661958
28,0.93,1727379.0,optimal,0.5836550829999965,0.4040982337724401,326.7667043942815,0.39055152627153544,1249.9999353470196
29,0.93,1797379.0,optimal,0.5042695839999851,0.4053286333728435,329.11541502094786,0.3880990962371127,1249.9999353272112
30,0.93,1867379.0,optimal,0.5090346669999803,0.40649541165067626,331.35415908186695,0.38576465892829975,1249.9999353068424
31,0.93,1937379.0,optimal,0.47494954100000086,0.40760443695130216,333.4926482000817,0.3835377594042578,1249.9999352859738
32,0.94,1447379.0,optimal,0.49301329200000055,0.3950684936998768,306.8778607062981,0.4137912658571289,1249.9999357079835
33,0.94,1517379.0,optimal,0.4892972499999928,0.396689397276217,309.8722904509248,0.41068361288962035,1249.9999356862472
34,0.94,1587379.0,optimal,0.49786683299998913,0.39820873199264023,312.69711760694696,0.4077564968987437,1249.9999356639073
35,0.94,1657379.0,optimal,0.5423928749999618,0.39963753410431085,315.36981843231007,0.4049911605045379,1249.9999356410501
36,0.94,1727379.0,optimal,0.5083629169999995,0.40098522027006916,317.9054252765828,0.4023715000029109,1249.999935617746
37,0.94,1797379.0,optimal,0.5603265830000055,0.4022598812075125,320.31695027891357,0.39988359900204523,1249.9999355940536
38,0.94,1867379.0,optimal,0.5759430409999595,0.40346851280140944,322.61572256330834,0.39751535871039595,1249.9999355700218
39,0.94,1937379.0,optimal,0.5493164579999643,0.40461719981263733,324.81165904592694,0.39525620203583406,1249.9999355456919
40,0.95,1447379.0,optimal,0.48512445899996237,0.3909586493886548,295.9778284197202,0.42689738300990526,1249.9999360298511
41,0.95,1517379.0,optimal,0.48259566699999823,0.3926435815726487,299.05139942355834,0.42374341271852783,1249.9999360029462
42,0.95,1587379.0,optimal,0.4958691659999772,0.3942228390888528,301.95146870926817,0.4207723847100022,1249.9999359757783
