,X,P,Termination,Time,Objective,Steam,Bypass Frac,CH4 Feed
0,0.9,1447379.0,optimal,0.6758245839999999,0.4107534811829222,349.25820437977774,0.35570368300309324,1249.9999231844163
1,0.9,1517379.0,optimal,0.7584114579999994,0.41201889103640843,349.2582103649363,0.35308721237237856,1249.999922057906
2,0.9,1587379.0,optimal,0.8646631669999998,0.41320234243597265,349.25821563254743,0.35060563575591486,1249.9999209690677
3,0.9,1657379.0,optimal,0.7726460829999979,0.4143128851838992,349.258220310214,0.34824529804343773,1249.999919915467
4,0.9,1727379.0,optimal,0.7874477499999983,0.4153582288663444,349.25822449718754,0.34599445771925125,1249.9999188948707
5,0.9,1797379.0,optimal,0.7990839590000007,0.41634498711077317,349.2582282680652,0.3438429511582646,1249.9999179052172
6,0.9,1867379.0,optimal,0.8294163340000011,0.41727886968578654,349.2582316965777,0.3417819266400215,1249.9999169446746
7,0.9,1937379.0,optimal,0.8226171670000042,0.4181648350765164,349.2582348221707,0.3398036315603649,1249.999916011478
8,0.91,1447379.0,optimal,0.8012120000000067,0.4084418621885919,349.2581147251794,0.36532343702505304,1249.9999274946147
9,0.91,1517379.0,optimal,0.6935371249999989,0.4097618674248399,349.2581260764913,0.36269295353416886,1249.9999264407943
10,0.91,1587379.0,optimal,0.8069594580000015,0.4109965666281449,349.2581359259353,0.360198810282885,1249.9999254202253
11,0.91,1657379.0,optimal,0.9639627500000003,0.41215534350484756,349.2581445615175,0.3578271912671408,1249.9999244308492
12,0.91,1727379.0,optimal,0.7970774579999969,0.4132461965869624,349.2581522022774,0.35556621827514423,1249.99992347076
13,0.91,1797379.0,optimal,0.7607856670000075,0.41427599094041234,349.25815901770466,0.3534056107362348,1249.9999225381976
14,0.91,1867379.0,optimal,0.7015985409999956,0.4152506562713331,349.25816514095686,0.3513364162481673,1249.9999216315377
15,0.91,1937379.0,optimal,0.8142277090000078,0.4161753443865341,349.2581706780692,0.34935079500184085,1249.9999207492829
16,0.92,1447379.0,optimal,0.7172517500000026,0.4060681140233492,349.2579612528723,0.3745184636510364,1249.999931504386
17,0.92,1517379.0,optimal,0.6993527499999885,0.4074431807464796,349.25798500916875,0.3718689328294766,1249.9999305227457
18,0.92,1587379.0,optimal,0.7659815410000022,0.40872961965029286,349.2580051178205,0.36935750049394084,1249.999929570481
19,0.92,1657379.0,optimal,0.9156360839999991,0.40993714465486164,349.2580223729352,0.3669701525186295,1249.999928645875
20,0.92,1727379.0,optimal,0.8118895839999993,0.4110740401675503,349.2580373540087,0.3646948424411457,1249.999927747316
21,0.92,1797379.0,optimal,0.7658701249999922,0.4121474201127642,349.2580504937493,0.36252114582061146,1249.9999268733
22,0.92,1867379.0,optimal,0.7846300829999961,0.4131634319499517,349.2580621217272,0.36043998644911135,1249.9999260224283
23,0.92,1937379.0,optimal,0.7895940840000009,0.4141274189415856,349.2580724933342,0.35844341735145163,1249.9999251934019
24,0.93,1447379.0,optimal,0.8048134999999945,0.4036245370229385,349.2576444971618,0.38335274446963896,1249.9999352244881
25,0.93,1517379.0,optimal,0.7786567499999961,0.4050551837706766,349.2577059746459,0.380678438765757,1249.9999343121092
26,0.93,1587379.0,optimal,0.7948112499999951,0.40639388220817035,349.2577554461941,0.37814435505085847,1249.9999334256736
27,0.93,1657379.0,optimal,0.7825131660000011,0.40765067617217654,349.2577961438927,0.37573623876860374,1249.9999325637787
28,0.93,1727379.0,optimal,0.8372916670000166,0.4088341357511674,349.2578302356181,0.37344183925469304,1249.9999317250845
29,0.93,1797379.0,optimal,0.8776946659999965,0.40995162359539583,349.25785922958056,0.3712505574356547,1249.9999309083214
30,0.93,1867379.0,optimal,0.7664930000000254,0.41100950482152027,349.2578842074,0.36915316680941135,1249.9999301122957
31,0.93,1937379.0,optimal,1.1927027920000057,0.412013314072875,349.2579059649044,0.3671415902947899,1249.999929335888
32,0.94,1447379.0,optimal,0.968993624999996,0.4011056353843828,349.2566338969539,0.3918867053758708,1249.9999386739767
33,0.94,1517379.0,optimal,0.7647018330000037,0.40259251811686797,349.25691145774897,0.3891811790072936,1249.9999378267219
34,0.94,1587379.0,optimal,0.7048312920000228,0.40398410654572575,349.2571040561211,0.3866184190087373,1249.9999370022995
35,0.94,1657379.0,optimal,0.7668026250000253,0.4052907773802858,349.25724560737336,0.38418388032218953,1249.999936199617
36,0.94,1727379.0,optimal,0.8164010000000133,0.40652138900723994,349.25735410348403,0.38186506663533326,1249.9999354175202
37,0.94,1797379.0,optimal,0.9251628330000017,0.40768355510385884,349.2574399490237,0.379651169216424,1249.9999346551342
38,0.94,1867379.0,optimal,0.782836666999998,0.4087838604614866,349.25750962020845,0.3775327812773894,1249.9999339113838
39,0.94,1937379.0,optimal,0.754944375000008,0.40982803286815495,349.25756732862584,0.37550166972667937,1249.999933185243
40,0.95,1447379.0,optimal,0.9366292089999888,0.3985091169678425,347.08744287964436,0.4004557067948828,1249.9999410460919
41,0.95,1517379.0,optimal,0.7999259160000065,0.40005138985617483,349.23959049262976,0.39743621959731196,1249.9999410833193
42,0.95,1587379.0,optimal,0.7961225840000168,0.4014966787221084,349.25142256654186,0.39483663005087344,1249.9999403208544
43,0.95,1657379.0,optimal,0.7862880830000165,0.4028539900012057,349.2540351170544,0.3923691133267629,1249.9999395740979
44,0.95,1727379.0,optimal,0.9458461250000028,0.40413247546450604,349.25518191818395,0.39001987621617273,1249.9999388451631
45,0.95,1797379.0,optimal,0.824214459000018,0.4053400043743713,349.2558264754045,0.38777774007507304,1249.9999381335763
46,0.95,1867379.0,optimal,0.774684915999984,0.40648338521026306,349.25623964622906,0.3856330520149127,1249.9999374386166
47,0.95,1937379.0,optimal,0.753206041999988,0.4075685424370173,349.2565272085567,0.3835773822477845,1249.9999367595285
48,0.96,1447379.0,,,,,,
49,0.96,1517379.0,,,,,,
50,0.96,1587379.0,,,,,,
51,0.96,1657379.0,,,,,,
52,0.96,1727379.0,,,,,,
53,0.96,1797379.0,,,,,,
54,0.96,1867379.0,,,,,,
55,0.96,1937379.0,,,,,,
56,0.97,1447379.0,,,,,,
57,0.97,1517379.0,,,,,,
58,0.97,1587379.0,,,,,,
59,0.97,1657379.0,,,,,,
60,0.97,1727379.0,,,,,,
61,0.97,1797379.0,,,,,,
62,0.97,1867379.0,,,,,,
63,0.97,1937379.0,,,,,,
