,T,P,Objective
0,288.15,1447379.0,0.37439545955504716
1,288.15,1518807.571,0.3765654772999268
2,288.15,1590236.143,0.37857330635535813
3,288.15,1661664.714,0.3804392227773346
4,288.15,1733093.286,0.38218012248965644
5,288.15,1804521.857,0.38381021335244686
6,288.15,1875950.429,0.38534153610075683
7,288.15,1947379.0,0.38678437561008405
8,295.2928571,1447379.0,0.3697708672036612
9,295.2928571,1518807.571,0.3720363932053632
10,295.2928571,1590236.143,0.3741307529138002
11,295.2928571,1661664.714,0.37607546697683975
12,295.2928571,1733093.286,0.3778884317284472
13,295.2928571,1804521.857,0.3795847137667704
14,295.2928571,1875950.429,0.38117705356663917
15,295.2928571,1947379.0,0.38267632804752477
16,302.4357143,1447379.0,0.36493616490869935
17,302.4357143,1518807.571,0.36734327920833637
18,302.4357143,1590236.143,0.3695350543523106
19,302.4357143,1661664.714,0.37156369449123555
20,302.4357143,1733093.286,0.3734534321968981
21,302.4357143,1804521.857,0.37522021938743205
22,302.4357143,1875950.429,0.3768775549917043
23,302.4357143,1947379.0,0.37843695119840187
24,309.5785714,1447379.0,0.3598787893865004
25,309.5785714,1518807.571,0.3624041687153211
26,309.5785714,1590236.143,0.3647300639989305
27,309.5785714,1661664.714,0.36688231608061467
28,309.5785714,1733093.286,0.3688655928165408
29,309.5785714,1804521.857,0.3707074608643989
30,309.5785714,1875950.429,0.3724340097786839
31,309.5785714,1947379.0,0.3740574304608096
32,316.7214286,1447379.0,0.3546187207731289
33,316.7214286,1518807.571,0.3572705270985006
34,316.7214286,1590236.143,0.35971056651694044
35,316.7214286,1661664.714,0.3619664302350635
36,316.7214286,1733093.286,0.3640609521922799
37,316.7214286,1804521.857,0.3660132060180164
38,316.7214286,1875950.429,0.36783714398027506
39,316.7214286,1947379.0,0.3695287242444928
40,323.8642857,1447379.0,0.3491431042552683
41,323.8642857,1518807.571,0.35192999731327057
42,323.8642857,1590236.143,0.35449198014282923
43,323.8642857,1661664.714,0.3568585162262281
44,323.8642857,1733093.286,0.35905397157848407
45,323.8642857,1804521.857,0.36109868356411223
46,323.8642857,1875950.429,0.3630097755855585
47,323.8642857,1947379.0,0.36480177617631765
48,331.0071429,1518807.571,0.34636987395166213
49,331.0071429,1590236.143,0.3490620518969848
50,331.0071429,1661664.714,0.3515467386945058
51,331.0071429,1733093.286,0.35384993519474606
52,331.0071429,1804521.857,0.3559933312997323
53,331.0071429,1875950.429,0.3579951748802954
54,331.0071429,1947379.0,0.35987093879060555
55,338.15,1661664.714,0.34601894233467484
56,338.15,1733093.286,0.34843707039570615
57,338.15,1804521.857,0.35068572995190994
58,338.15,1875950.429,0.3527843697935906
59,338.15,1947379.0,0.354749472132857
