,T,P,Termination,Time,Objective,Steam,Bypass Frac,TinCH4,FinCH4
0,288.15,1447379.0,optimal,1.4341719000367448,0.37422330141060645,259.24031330657317,0.4319192808772691,813.5519653905443,660.0859901980784
1,288.15,1518807.5714285714,optimal,1.4326015999540687,0.3764152141027615,262.9302584585862,0.42789058996173096,809.7776595637374,664.7671602196409
2,288.15,1590236.142857143,optimal,1.4931042999960482,0.37844667092054507,266.38955702959515,0.42413931579416375,806.1729366221815,669.1259836052101
3,288.15,1661664.7142857143,optimal,1.3667855000821874,0.3803372598895248,269.6438760017244,0.42063249405581926,802.7236628625191,673.2007635118015
4,288.15,1733093.2857142857,optimal,1.1921311999903992,0.3821033817574255,272.7150046602919,0.4173424336031347,799.4173584223004,677.0236758878375
5,288.15,1804521.8571428573,optimal,1.3119963000062853,0.38375888489738824,275.62158003966607,0.4142456774873448,796.2429561112597,680.6219767248205
6,288.15,1875950.4285714286,optimal,1.4073648999910802,0.38531555269081486,278.3796528367226,0.4113222037285915,793.190601048925,684.018930724324
7,288.15,1947379.0,optimal,1.3380903000943363,0.3867834821364292,281.0031336679939,0.4085548031222314,790.2514835289702,687.2345342609921
8,295.29285714285714,1447379.0,optimal,1.1411876999773085,0.3695658126192912,251.54180586718695,0.44041789380324553,812.0783880966783,650.2109581124686
9,295.29285714285714,1518807.5714285714,optimal,1.093006799928844,0.37184501507045326,255.28541894878182,0.43626919889507676,808.3192176731695,655.0315677447004
10,295.29285714285714,1590236.142857143,optimal,1.0771438999800012,0.37395619439217087,258.79361874592684,0.432408913256486,804.7280649995507,659.5170578914734
11,295.29285714285714,1661664.7142857143,optimal,1.1157266999362037,0.3759199253680219,262.09283351612754,0.4288026147852566,801.2909965068424,663.7074255931045
12,295.29285714285714,1733093.2857142857,optimal,1.2370926000876352,0.37775338616784593,265.20465261530086,0.42542146183644286,797.995843720707,667.6361836324119
13,295.29285714285714,1804521.8571428573,optimal,1.2819513001013547,0.3794711385942703,268.1487655153799,0.4222409567523032,794.8315765321221,671.3317972611163
14,295.29285714285714,1875950.4285714286,optimal,1.2113440999528393,0.38108552934358,270.9413407293237,0.41924025265834647,791.7885078149069,674.818489673789
15,295.29285714285714,1947379.0,optimal,1.1026074999244884,0.3826071443558741,273.5965808274354,0.41640142822209913,788.8579339595302,678.1170847077705
16,302.43571428571425,1447379.0,optimal,1.1977835000725463,0.36468117553997836,242.04652107582322,0.4491959043546151,810.913145370125,640.0112776943091
17,302.43571428571425,1518807.5714285714,optimal,1.057743199984543,0.36712435201679716,247.38215802884918,0.44483494566567516,806.8907454298428,645.0785289448838
18,302.43571428571425,1590236.142857143,optimal,1.0680471999803558,0.3693288564361702,251.15516065412237,0.44084811981012983,803.2750650671337,649.71105352109
19,302.43571428571425,1661664.7142857143,optimal,1.1747519000200555,0.3713690664246983,254.49993773914673,0.43713712868167676,799.8512731613145,654.023069703269
20,302.43571428571425,1733093.2857142857,optimal,1.1649614999769256,0.3732730093097281,257.65401690511226,0.43365999061548505,796.5680731825124,658.0633584267131
21,302.43571428571425,1804521.8571428573,optimal,1.2089008999755606,0.3750559207519095,260.6368145753273,0.430391205473289,793.4147282110491,661.8615497835035
22,302.43571428571425,1875950.4285714286,optimal,1.1109373000217602,0.37673075669832534,263.46505244076275,0.42730903114327645,790.3816539729643,665.4429071964629
23,302.43571428571425,1947379.0,optimal,1.485349699971266,0.3783086123342027,266.1532219776617,0.42439479925475565,787.4602646589565,668.8291225300367
24,309.5785714285714,1447379.0,optimal,1.7057758000446483,0.35957253381862675,230.97313835526313,0.4582464711981195,810.0068791720205,629.4948982861607
25,309.5785714285714,1518807.5714285714,optimal,1.5246281999861822,0.36211923312690486,236.47959836704212,0.4537458953731876,805.9858975051667,634.7243787981016
26,309.5785714285714,1590236.142857143,optimal,1.6176930000074208,0.3644723255138707,241.59164028867315,0.4495676874744198,802.1541604678586,639.5792812886677
27,309.5785714285714,1661664.7142857143,optimal,1.244463299983181,0.3666559270071435,246.35708675749072,0.44567276073113915,798.4952303524552,644.1050229474548
28,309.5785714285714,1733093.2857142857,optimal,1.3700438999803737,0.36865644508531675,250.0605955207814,0.44206787663811953,795.1326930772722,648.2937472008758
29,309.5785714285714,1804521.8571428573,optimal,1.9265899000456557,0.3705074734170827,253.08302988513483,0.4387061653506845,791.9911515207967,652.1999148443638
30,309.5785714285714,1875950.4285714286,optimal,1.491938199964352,0.3722455228148533,255.94790663572397,0.43553818019995433,788.9688623779053,655.8809808350944
31,309.5785714285714,1947379.0,optimal,1.4366146000102162,0.37388221758799595,258.67000082891997,0.43254446985168515,786.0573711078323,659.3595468083511
32,316.72142857142853,1447379.0,optimal,1.0790016999235377,0.354297105674648,219.6484751187478,0.4675024149142028,809.1120583600311,618.7398795583935
33,316.72142857142853,1518807.5714285714,optimal,1.5198104999726638,0.3569516161205751,225.33346050530926,0.46285592619305377,805.0940306427419,624.1389047412587
34,316.72142857142853,1590236.142857143,optimal,1.1579959000227973,0.35940320355439187,230.60794816827894,0.4585449478227761,801.2642372341359,629.1480809559729
35,316.72142857142853,1661664.7142857143,optimal,1.66489409992937,0.3616771769502415,235.52186078431504,0.45452867666568636,797.6064849083983,633.8148197386682
36,316.72142857142853,1733093.2857142857,optimal,1.7688335999846458,0.363794665524969,240.11699606672568,0.45077295032466325,794.1065074618949,638.1788163632247
37,316.72142857142853,1804521.8571428573,optimal,1.4011012999108061,0.3657734593663603,244.42864737924063,0.44724892256963406,790.7516866390162,642.2735889401855
