,X,P,Termination,Time,Objective,Steam,Bypass Frac,CH4 Feed
0,0.9,1447379,optimal,0.642325166,0.4107533864107463,349.25820437927314,0.3557038116427744,1249.9999231844838
1,0.9,1517379,optimal,0.679119708,0.41201879593627155,349.25821036445933,0.3530873423023505,1249.9999220579748
2,0.9,1587379,optimal,0.5589879169999996,0.41320224702790986,349.25821563209433,0.35060576692238943,1249.9999209691382
3,0.9,1657379,optimal,0.594559125,0.4143127894859579,349.2582203097818,0.3482454303970847,1249.9999199155386
4,0.9,1727379,optimal,0.6273627919999996,0.4153581328948446,349.2582244967737,0.3459945912147038,1249.9999188949434
5,0.9,1797379,optimal,0.566960083999998,0.41634489088091353,349.25822827138296,0.34384308575223277,1249.9999179053057
6,0.9,1867379,optimal,0.8880576249999983,0.41727877321029305,349.25823169619474,0.34178206229673297,1249.9999169447492
7,0.9,1937379,optimal,0.7593396250000026,0.4181647383681071,349.25823482180084,0.33980376824251274,1249.9999160115538
8,0.91,1447379,optimal,0.6451366249999992,0.40844176825964634,349.2581147243517,0.3653235619555844,1249.9999274946763
9,0.91,1517379,optimal,0.5967155410000018,0.4097617731651581,349.25812607572243,0.3626930796916609,1249.9999264408573
10,0.91,1587379,optimal,0.5732310830000031,0.4109964720574956,349.25813592521615,0.3601989376172189,1249.9999254202896
11,0.91,1657379,optimal,0.5690897499999963,0.41215524864106384,349.2581445608409,0.35782731973225795,1249.9999244309147
12,0.91,1727379,optimal,0.6179499169999971,0.41324610144621576,349.25815220163764,0.3555663478285859,1249.9999234708266
13,0.91,1797379,optimal,0.6499357499999974,0.41427589553740546,349.25815901709706,0.35340574133877495,1249.9999225382653
14,0.91,1867379,optimal,0.6096147079999952,0.41525056061947896,349.2581651403776,0.3513365478634793,1249.9999216316064
15,0.91,1937379,optimal,0.6288222499999989,0.41617524849811,349.2581706775151,0.34935092759620334,1249.9999207493527
16,0.92,1447379,optimal,0.6488716249999982,0.4060680209496195,349.2579612513221,0.37451858533997523,1249.999931504442
17,0.92,1517379,optimal,0.6278097919999936,0.4074430873405166,349.2579850077694,0.3718690556852916,1249.9999305228027
18,0.92,1587379,optimal,0.7228870839999928,0.40872952593150014,349.2580051165436,0.36935762446997733,1249.9999295705395
19,0.92,1657379,optimal,0.6395689160000018,0.409937050640799,349.25802237175964,0.3669702775718865,1249.9999286459345
20,0.92,1727379,optimal,0.6020093750000086,0.41107394587416746,349.2580373529181,0.36469496853189576,1249.9999277473764
21,0.92,1797379,optimal,0.6234578329999891,0.41214732555459255,349.2580504927311,0.36252127291207537,1249.9999268733616
22,0.92,1867379,optimal,0.6309861659999996,0.41316333714027653,349.25806212077134,0.36044011450715796,1249.9999260224909
23,0.92,1937379,optimal,0.5992084589999962,0.4141273238925828,349.2580724924325,0.3584435463443506,1249.9999251934655
24,0.93,1447379,optimal,0.6099399590000019,0.40362444480873066,349.25764449344723,0.38335286334344515,1249.9999352245384
25,0.93,1517379,optimal,0.5726713749999988,0.40505509122389716,349.2577059714782,0.3806785587497135,1249.9999343121608
26,0.93,1587379,optimal,0.7629169580000053,0.4063937893477746,349.2577554434369,0.3781444761016005,1249.9999334257263
27,0.93,1657379,optimal,0.6216120840000059,0.4076505830153697,349.25779614145335,0.37573636084602857,1249.9999325638325
28,0.93,1727379,optimal,0.5848379170000015,0.408834042313617,349.2578302334314,0.3734419623216495,1249.9999317251393
