,T,P,Objective
0,288.15,1447379.0,0.37879331199617083
1,288.15,1518807.5714285714,0.3808001384794834
2,288.15,1590236.142857143,0.3826591770422658
3,288.15,1661664.7142857143,0.38438873185328676
4,288.15,1733093.2857142857,0.3860040799026203
5,288.15,1804521.8571428573,0.38751808449969843
6,288.15,1875950.4285714289,0.38894166365922656
7,288.15,1947379.0,0.3902841521908039
8,295.29285714285714,1447379.0,0.3743744925421208
9,295.29285714285714,1518807.5714285714,0.37646878015873675
10,295.29285714285714,1590236.142857143,0.37840713648131613
11,295.29285714285714,1661664.7142857143,0.3802089809610862
12,295.29285714285714,1733093.2857142857,0.38189050658658763
13,295.29285714285714,1804521.8571428573,0.38346533634985736
14,295.29285714285714,1875950.4285714289,0.3849450239059852
15,295.29285714285714,1947379.0,0.3863394402271206
16,302.43571428571425,1447379.0,0.3697997032173177
17,302.43571428571425,1518807.5714285714,0.3719872404681827
18,302.43571428571425,1590236.142857143,0.3740101464376424
19,302.43571428571425,1661664.7142857143,0.37588904494747893
20,302.43571428571425,1733093.2857142857,0.3776410987484754
21,302.43571428571425,1804521.8571428573,0.37928074606018397
22,302.43571428571425,1875950.4285714289,0.38082023449636776
23,302.43571428571425,1947379.0,0.38227000289327234
24,309.5785714285714,1447379.0,0.36505850274942236
25,309.5785714285714,1518807.5714285714,0.3673454683024543
26,309.5785714285714,1590236.142857143,0.3694585027083874
27,309.5785714285714,1661664.7142857143,0.3714195096369624
28,309.5785714285714,1733093.2857142857,0.3732467203435506
29,309.5785714285714,1804521.8571428573,0.3749554465789796
30,309.5785714285714,1875950.4285714289,0.37655865364769475
31,309.5785714285714,1947379.0,0.37806740213089607
32,316.72142857142853,1447379.0,0.3601400805068559
33,316.72142857142853,1518807.5714285714,0.3625330666329992
34,316.72142857142853,1590236.142857143,0.3647421773955502
35,316.72142857142853,1661664.7142857143,0.36679069767884437
36,316.72142857142853,1733093.2857142857,0.368697991150144
37,316.72142857142853,1804521.8571428573,0.37048030706464247
38,316.72142857142853,1875950.4285714289,0.3721513937803955
39,316.72142857142853,1947379.0,0.3737229712481717
40,323.8642857142857,1447379.0,0.3550332349019204
41,323.8642857142857,1518807.5714285714,0.35753926817936493
42,323.8642857142857,1590236.142857143,0.35985079243163026
43,323.8642857142857,1661664.7142857143,0.36199257455443656
44,323.8642857142857,1733093.2857142857,0.36398519290261794
45,323.8642857142857,1804521.8571428573,0.36584590199883016
46,323.8642857142857,1875950.4285714289,0.36758928953288494
47,323.8642857142857,1947379.0,0.36922778192906475
48,331.00714285714287,1447379.0,0.34972636233124443
49,331.00714285714287,1518807.5714285714,0.35235292040358807
50,331.00714285714287,1590236.142857143,0.35477360149356235
51,331.00714285714287,1661664.7142857143,0.3570147609310468
52,331.00714285714287,1733093.2857142857,0.3590982788675374
53,331.00714285714287,1804521.8571428573,0.3610424869961981
54,331.00714285714287,1875950.4285714289,0.36286287216175717
55,331.00714285714287,1947379.0,0.3645726174056467
56,338.15,1447379.0,0.3442074589150475
57,338.15,1518807.5714285714,0.3469624816813346
58,338.15,1590236.142857143,0.34949948181990037
59,338.15,1661664.7142857143,0.35184651444193904
60,338.15,1733093.2857142857,0.354026852989091
61,338.15,1804521.8571428573,0.3560599820822065
62,338.15,1875950.4285714289,0.3579623509101682
63,338.15,1947379.0,0.35974795220629174
