,Fin_CH4,Tin_CH4,Fin_H2O,Conversion,HeatDuty,Fout,Tout,H2,CO,H2O,CO2,CH4,C2H6,C3H8,C4H10,N2,O2,Ar
682,631.1937875,826.0632197,237.8115569,0.951729571,44009601.95,3171.143512,1037.777193,0.421601348,0.178139387,0.039156368,0.020451922,0.008944969,4.82E-08,9.84E-13,1.89E-17,0.327757074,1.00E-20,0.003948885
715,674.499598,763.4200013,279.1434365,0.945127583,56886048.23,3332.979086,1037.558993,0.435128041,0.181062995,0.038065891,0.019596851,0.010338416,6.22E-08,1.42E-12,3.05E-17,0.312050459,1.00E-20,0.003757286
993,812.1292346,742.5823697,222.2647314,0.844828792,73374519.13,3532.066589,1037.490943,0.447495462,0.198705106,0.014166522,0.007784652,0.033216814,6.24E-07,4.45E-11,2.98E-15,0.295084944,1.00E-20,0.003545877
252,768.4143833,700.9945015,288.9012014,0.906491818,76666293.09,3565.617648,1037.433934,0.454239876,0.19255732,0.02545841,0.013358406,0.018761216,1.96E-07,7.78E-12,2.90E-16,0.292112167,1.00E-20,0.003512408
497,721.7953741,643.7196341,257.4504025,0.918083438,69172865.39,3415.023271,1037.312064,0.443866436,0.189770318,0.027331052,0.014470529,0.016119177,1.48E-07,5.16E-12,1.69E-16,0.304775189,1.00E-20,0.003667151
803,724.6721377,683.6100129,339.9955726,0.940694387,72880645.68,3536.449222,1037.253002,0.44950132,0.182697632,0.038991841,0.019630146,0.011314118,7.19E-08,1.74E-12,3.94E-17,0.294323602,1.00E-20,0.003541269
310,698.3289653,747.3747373,285.7269999,0.937264707,62323468.39,3399.917287,1037.20556,0.441103046,0.184035573,0.035047277,0.018115248,0.011996495,8.24E-08,2.15E-12,5.26E-17,0.306018894,1.00E-20,0.003683384
82,695.3746558,695.240179,290.9776686,0.939405682,64158721.6,3399.232762,1036.87714,0.440568807,0.182992586,0.036395533,0.01875187,0.011540394,7.61E-08,1.91E-12,4.49E-17,0.306066615,1.00E-20,0.003684118
564,722.3934825,896.6459004,251.1916567,0.9148656,57103311.37,3406.177891,1036.851058,0.44318301,0.190218722,0.026455504,0.014086682,0.01680979,1.61E-07,5.82E-12,1.98E-16,0.305569457,1.00E-20,0.003676674
261,814.2954342,659.4752775,305.9897242,0.888189476,86641934.04,3687.54602,1036.724638,0.46125973,0.195406704,0.022478261,0.011819269,0.022986765,2.88E-07,1.37E-11,6.13E-16,0.282652584,1.00E-20,0.0033964
721,738.56412,698.6947156,224.5729582,0.893654232,66493997.47,3397.373733,1036.392387,0.442105969,0.193627225,0.021122439,0.011496744,0.021523642,2.63E-07,1.22E-11,5.31E-16,0.306437476,1.00E-20,0.003686242
386,803.9303725,608.519121,223.4453622,0.849892004,78578621.12,3518.074379,1036.359616,0.446933765,0.198007597,0.015052774,0.008288989,0.031935067,5.72E-07,3.90E-11,2.49E-15,0.296221278,1.00E-20,0.003559957
981,808.2020535,705.7437747,292.7988636,0.885034705,82194659.76,3652.206561,1036.31962,0.458805344,0.195519337,0.021702473,0.011496939,0.023685469,3.06E-07,1.51E-11,6.96E-16,0.285360888,1.00E-20,0.003429244
855,745.1615979,754.6051121,337.6216507,0.930942359,73020374.83,3581.062127,1035.933144,0.453309907,0.185479312,0.035502064,0.018084645,0.013378304,9.86E-08,2.77E-12,7.28E-17,0.290748461,1.00E-20,0.003497208
951,844.2518108,674.7509491,271.5254946,0.851232805,85704482.01,3680.535384,1035.814389,0.457636957,0.198446169,0.016506689,0.008915388,0.031770112,5.50E-07,3.63E-11,2.24E-15,0.283321194,1.00E-20,0.003402941
674,711.6952726,683.4219387,236.9904712,0.913330907,63822454.65,3358.860071,1035.567392,0.439411181,0.189748995,0.026125817,0.014065328,0.017096891,1.66E-07,6.11E-12,2.11E-16,0.30982319,1.00E-20,0.003728433
430,788.9513216,861.1278391,284.7924464,0.891101314,70608363.48,3598.24924,1035.497037,0.455442863,0.194163354,0.022935367,0.012193508,0.02222963,2.70E-07,1.25E-11,5.42E-16,0.289554396,1.00E-20,0.003480611
1012,775.6280958,600.7249562,276.1949254,0.894634205,80419921.62,3556.633569,1035.429038,0.452850047,0.193499206,0.023388138,0.012465911,0.021392656,2.51E-07,1.12E-11,4.72E-16,0.292882493,1.00E-20,0.003521297
1057,616.7467967,777.4219336,307.6968055,0.965639856,44971594.8,3214.03082,1035.405584,0.41764231,0.166550389,0.055066379,0.027394565,0.006138507,2.24E-08,3.12E-13,4.08E-18,0.323311659,1.00E-20,0.003896169
276,682.6627913,898.9363775,319.913826,0.948537867,53517354.37,3402.259875,1035.156254,0.437897471,0.177569705,0.043485171,0.022018858,0.009613407,5.24E-08,1.09E-12,2.12E-17,0.305734524,1.00E-20,0.003680812
655,823.3697516,618.7658492,254.7952584,0.854188576,83717128.39,3610.139371,1035.153466,0.453328286,0.197721226,0.016681322,0.009085272,0.030960864,5.25E-07,3.39E-11,2.05E-15,0.288753271,1.00E-20,0.003469234
980,865.9451569,645.7656181,326.4827064,0.866359339,95661980.77,3820.340376,1035.088119,0.467307883,0.197500769,0.020071276,0.010595372,0.028201845,4.22E-07,2.41E-11,1.29E-15,0.273043951,1.00E-20,0.003278482
871,614.7110791,635.9674408,233.8306797,0.954118086,47115525.87,3120.874664,1035.069192,0.415698612,0.174908255,0.041961248,0.022053854,0.008413702,4.22E-08,8.07E-13,1.45E-17,0.332951849,1.00E-20,0.004012437
1014,708.113746,898.7898652,214.3084632,0.905046698,51469214.16,3314.860436,1034.930548,0.435965622,0.190906299,0.023620472,0.012926984,0.018884198,2.03E-07,8.28E-12,3.18E-16,0.313918318,1.00E-20,0.003777905
767,747.846408,839.2877999,218.0716799,0.882510435,59969446.13,3401.957677,1034.885852,0.441438594,0.194339179,0.019626351,0.010800549,0.02404548,3.24E-07,1.67E-11,8.03E-16,0.306068223,1.00E-20,0.0036813
973,740.0215063,723.2922939,232.5436424,0.893902165,65651116.39,3409.862464,1034.402046,0.442486851,0.192688714,0.022255262,0.012137158,0.021437033,2.56E-07,1.17E-11,4.98E-16,0.305321979,1.00E-20,0.003672747
708,774.1917268,717.8867744,334.3424364,0.915701369,79035903.24,3641.028379,1034.295973,0.457693255,0.188906511,0.031102186,0.016083019,0.016687669,1.50E-07,5.13E-12,1.65E-16,0.286087521,1.00E-20,0.00343969
448,713.458456,654.0353841,340.0754546,0.941173542,70976777.68,3504.044819,1034.084506,0.445875877,0.180214738,0.041272898,0.02091699,0.011151223,6.86E-08,1.61E-12,3.54E-17,0.296994219,1.00E-20,0.003573986
115,788.4941671,782.4139103,279.1918338,0.886652101,73567145.84,3584.808448,1033.938458,0.453950373,0.193979551,0.022607068,0.012119906,0.023211149,2.92E-07,1.40E-11,6.27E-16,0.290638002,1.00E-20,0.003493658
936,681.7319011,616.4126009,284.5901879,0.939280669,63318226.11,3352.424406,1033.443624,0.435858342,0.180670195,0.038108749,0.019856538,0.01149562,7.42E-08,1.82E-12,4.22E-17,0.310274968,1.00E-20,0.003735515
865,671.2210256,664.9065382,285.3983538,0.943369549,59412600.9,3327.325621,1033.38557,0.433234166,0.178874167,0.040107161,0.020820058,0.010635822,6.39E-08,1.46E-12,3.14E-17,0.312564901,1.00E-20,0.003763662
403,843.9313157,838.6834653,278.3487398,0.851819339,76824835.49,3687.386845,1033.29204,0.457596753,0.197461811,0.017615892,0.009560955,0.031574065,5.32E-07,3.42E-11,2.07E-15,0.282793372,1.00E-20,0.003396619
959,815.4598099,891.7302804,224.1943841,0.83754948,64271439.01,3532.185407,1032.798095,0.445771337,0.197441688,0.014911159,0.008322774,0.034916503,6.65E-07,4.84E-11,3.30E-15,0.295090105,1.00E-20,0.003545768
